,Title:,Citation:,Section:,Document Date:,Congress-Session:,Reference Volume:,Permalink:,Speaker(s):
22,HONORING ELLIE COHEN,164 Cong Rec E 1515,Extension of Remarks,13-Nov-18,115- 2,Vol.  164   No.  179   Pg.  E1515,https://congressional.proquest.com/congressional/docview/t17.d18.cr13no2018_dat-50?accountid=14537,Jared Huffman
23,UNANIMOUS-CONSENT AGREEMENT,139 Cong Rec S 5512,Senate,5-May-93,103- 1,Vol.  139   No.  61   Pg.  S5512,https://congressional.proquest.com/congressional/docview/t17.d18.c4b49b8e17000488?accountid=14537,Wendell Hampton Ford; George John Mitchell; William Sebastian Cohen
24,OUTDOOR RECREATION JOBS AND ECONOMIC IMPACT ACT OF 2016,162 Cong Rec E 1480,Extension of Remarks,15-Nov-16,114- 2,Vol.  162   No.  163   Pg.  E1480,https://congressional.proquest.com/congressional/docview/t17.d18.cr15no2016_dat-83?accountid=14537,Barbara Lee
25,REVENUE RECONCILIATION ACT OF 1997,143 Cong Rec S 6344,Senate,25-Jun-97,105- 1,Vol.  143   No.  91   Pg.  S6344,https://congressional.proquest.com/congressional/docview/t17.d18.c4b5e4881100143e?accountid=14537,William V. Roth Jr.; Craig Thomas; Conrad Burns; Wendell Hampton Ford; Richard H. Bryan; Larry E. Craig; Harry M. Reid; Carol Moseley Braun; James M. Jeffords; Wayne A. Allard; Richard J. Durbin; Frank H. Murkowski
26,Chamber Action,162 Cong Rec D 993,Daily Digest,28-Sep-16,114- 2,Vol.  162   No.  147   Pg.  D993,https://congressional.proquest.com/congressional/docview/t17.d18.cr28se2016_dat-3?accountid=14537,Chamber Action
27,WATER RESOURCES DEVELOPMENT ACT OF 2016,162 Cong Rec H 5961,House,27-Sep-16,114- 2,Vol.  162   No.  146   Pg.  H5961,https://congressional.proquest.com/congressional/docview/t17.d18.cr27se2016_dat-119?accountid=14537,Bill Shuster; Mac M. Thornberry; Kay Granger; Elizabeth H. Esty; Donna F. Edwards; David Young; Rod Blum; Garret Graves; Keith J. Rothfus; Mike Bost; Gene Eugene Green; Bob Dold; Lois Frankel; David Rouzer; Carlos Curbelo; Brian Babin; John J. Duncan Jr.; Bob Gibbs; Diane Black; Barbara Lee; Charles W. Boustany Jr.; Randy K. Weber; Don E. Young; Jaime Herrera Beutler; Pete Olson; Rick Allen; Billy Long; John L. Mica; Peter A. DeFazio; Leonard Lance; Brenda Lawrence; Marcy Kaptur; Rodney Davis; Al Green; Grace F. Napolitano
28,TEXT OF AMENDMENTS,162 Cong Rec S 5373,Senate,7-Sep-16,114- 2,Vol.  162   No.  134   Pg.  S5373,https://congressional.proquest.com/congressional/docview/t17.d18.cr07se2016_dat-211?accountid=14537,TEXT OF AMENDMENTS
29,AMERICANS WITH DISABILITIES ACT OF 1990,136 Cong Rec H 2599,House,22-May-90,101- 2,Vol.  136   No.  66   Pg.  H2599,https://congressional.proquest.com/congressional/docview/t17.d18.c4b0a0e611003095?accountid=14537,Steny H. Hoyer; William Floyd Clinger Jr.; Ronald Vernie Dellums; Augustus Freeman Hawkins; William O. Lipinski; Robert A. Borski; Lamar S. Smith; Newton Leroy Gingrich; Henry John Hyde; Bill McCollum; Bob McEwen; C. Christopher Cox; Patricia Scott Schroeder; Thomas Dale DeLay; Major R. Owens; Bruce F. Vento; Thomas E. Petri; Thomas Andrew Luken; Hamilton Fish Jr.; William Donlon Edwards; Robert Smith Walker; Glenn Malcolm Anderson; Kweisi Mfume; David E. Bonior; William F. Goodling; Norman Yoshio Mineta; Sam Gejdenson; Daniel Robert Glickman; Rodney Dennis Chandler; Cardiss Collins; Donald James Pease; Louis Stokes; Elmer Greinert Shuster; Charles Arthur Hayes; Nita M. Lowey; Harry Stephen Bartlett; J. Dennis Hastert; Howard Eliot Wolpe III; F. James Sensenbrenner Jr.; Craig T. James; Romano Louis Mazzoli; Harris W. Fawell; Charles Edward Bennett; Robert Clement; Bruce Andrew Morrison; Meldon Edises Levine; Howard L. Berman; Victor Herbert Fazio Jr.; Harley Orrin Staggers Jr.; John Rowland; Jack Bascom Brooks; Lewis Franklin Payne Jr.; Craig Anthony Washington; Jim A. McDermott; Charles W. Stenholm
30,RECOGNIZING PAUL REDMAN,152 Cong Rec E 841,Extension of Remarks,16-May-06,109- 2,Vol.  152   No.  60   Pg.  E841,https://congressional.proquest.com/congressional/docview/t17.d18.c4610d610400312e?accountid=14537,Patrick J. Tiberi
31,ON THE AUDUBON OHIO URBAN CONSERVATION CREW SUMMER CAP AT THE ROCKEFELLER PARK GREENHOUSE IN CLEVELAND,153 Cong Rec E 2221,Extension of Remarks,24-Oct-07,110- 1,Vol.  153   No.  162   Pg.  E2221,https://congressional.proquest.com/congressional/docview/t17.d18.c1dfdd55600003b1?accountid=14537,Stephanie Tubbs Jones
